species,park,observations
Bubo scandiacus,Yosemite National Park,125
Bubo scandiacus,Bryce National Park,98
Bubo scandiacus,Yellowstone National Park,245
Helianthus strumosus,Great Smoky Mountains National Park,77
Helianthus strumosus,Yosemite National Park,156
Helianthus strumosus,Bryce National Park,97
Helianthus strumosus,Yellowstone National Park,268
Mimulus congdonii,Great Smoky Mountains National Park,77
Mimulus congdonii,Yosemite National Park,131
Mimulus congdonii,Bryce National Park,134
Mimulus congdonii,Yellowstone National Park,257
Arceuthobium americanum,Great Smoky Mountains National Park,82
Arceuthobium americanum,Yosemite National Park,164
Arceuthobium americanum,Bryce National Park,96
Arceuthobium americanum,Yellowstone National Park,232
Picris hieracioides,Great Smoky Mountains National Park,56
Picris hieracioides,Yosemite National Park,173
Picris hieracioides,Bryce National Park,88
Picris hieracioides,Yellowstone National Park,259
Ranunculus alismifolius var. alismifolius,Great Smoky Mountains National Park,90
Ranunculus alismifolius var. alismifolius,Yosemite National Park,148
Ranunculus alismifolius var. alismifolius,Bryce National Park,104
Ranunculus alismifolius var. alismifolius,Yellowstone National Park,284
Thuidium allenii,Great Smoky Mountains National Park,89
Thuidium allenii,Yosemite National Park,127
Thuidium allenii,Bryce National Park,107
Thuidium allenii,Yellowstone National Park,272
Arnica parryi ssp. sonnei,Great Smoky Mountains National Park,63
Arnica parryi ssp. sonnei,Yosemite National Park,154
Arnica parryi ssp. sonnei,Bryce National Park,92
Arnica parryi ssp. sonnei,Yellowstone National Park,222
Delphinium patens ssp. patens,Great Smoky Mountains National Park,94
Delphinium patens ssp. patens,Yosemite National Park,176
Delphinium patens ssp. patens,Bryce National Park,122
Delphinium patens ssp. patens,Yellowstone National Park,253
Dichanthelium sphaerocarpon var. sphaerocarpon,Great Smoky Mountains National Park,76
Dichanthelium sphaerocarpon var. sphaerocarpon,Yosemite National Park,167
Dichanthelium sphaerocarpon var. sphaerocarpon,Bryce National Park,106
Dichanthelium sphaerocarpon var. sphaerocarpon,Yellowstone National Park,236
Athysanus pusillus,Great Smoky Mountains National Park,44
Athysanus pusillus,Yosemite National Park,151
Athysanus pusillus,Bryce National Park,139
Athysanus pusillus,Yellowstone National Park,257
Kerria japonica,Great Smoky Mountains National Park,94
Kerria japonica,Yosemite National Park,174
Kerria japonica,Bryce National Park,100
Kerria japonica,Yellowstone National Park,273
Taxiphyllum deplanatum,Great Smoky Mountains National Park,56
Taxiphyllum deplanatum,Yosemite National Park,165
Taxiphyllum deplanatum,Bryce National Park,93
Taxiphyllum deplanatum,Yellowstone National Park,258
Anaxyrus boreas boreas,Great Smoky Mountains National Park,57
Anaxyrus boreas boreas,Yosemite National Park,137
Anaxyrus boreas boreas,Bryce National Park,66
Anaxyrus boreas boreas,Yellowstone National Park,257
Geranium maculatum,Great Smoky Mountains National Park,101
Geranium maculatum,Yosemite National Park,180
Geranium maculatum,Bryce National Park,104
Geranium maculatum,Yellowstone National Park,267
Chenopodium leptophyllum,Great Smoky Mountains National Park,32
Chenopodium leptophyllum,Yosemite National Park,129
Chenopodium leptophyllum,Bryce National Park,97
Chenopodium leptophyllum,Yellowstone National Park,213
Lactuca saligna,Great Smoky Mountains National Park,79
Lactuca saligna,Yosemite National Park,133
Lactuca saligna,Bryce National Park,122
Lactuca saligna,Yellowstone National Park,270
Mimulus inconspicuus,Great Smoky Mountains National Park,69
Mimulus inconspicuus,Yosemite National Park,124
Mimulus inconspicuus,Bryce National Park,103
Mimulus inconspicuus,Yellowstone National Park,236
Hexalectris spicata,Great Smoky Mountains National Park,86
Hexalectris spicata,Yosemite National Park,127
Hexalectris spicata,Bryce National Park,96
Hexalectris spicata,Yellowstone National Park,230
Ribes roezlii var. roezlii,Great Smoky Mountains National Park,68
Ribes roezlii var. roezlii,Yosemite National Park,155
Ribes roezlii var. roezlii,Bryce National Park,94
Ribes roezlii var. roezlii,Yellowstone National Park,257
Dicranum fulvum,Great Smoky Mountains National Park,63
Dicranum fulvum,Yosemite National Park,123
Dicranum fulvum,Bryce National Park,91
Dicranum fulvum,Yellowstone National Park,267
Ceanothus diversifolius,Great Smoky Mountains National Park,93
Ceanothus diversifolius,Yosemite National Park,160
Ceanothus diversifolius,Bryce National Park,61
Ceanothus diversifolius,Yellowstone National Park,258
Gayophytum racemosum,Great Smoky Mountains National Park,53
Gayophytum racemosum,Yosemite National Park,138
Gayophytum racemosum,Bryce National Park,113
Gayophytum racemosum,Yellowstone National Park,259
Ruellia caroliniensis ssp. ciliosa var. cinerascens,Great Smoky Mountains National Park,81
Ruellia caroliniensis ssp. ciliosa var. cinerascens,Yosemite National Park,196
Ruellia caroliniensis ssp. ciliosa var. cinerascens,Bryce National Park,72
Ruellia caroliniensis ssp. ciliosa var. cinerascens,Yellowstone National Park,218
Cottus carolinae,Great Smoky Mountains National Park,92
Cottus carolinae,Yosemite National Park,176
Cottus carolinae,Bryce National Park,65
Cottus carolinae,Yellowstone National Park,258
Chenopodium botrys,Great Smoky Mountains National Park,74
Chenopodium botrys,Yosemite National Park,133
Chenopodium botrys,Bryce National Park,133
Chenopodium botrys,Yellowstone National Park,240
Viola hirsutula,Great Smoky Mountains National Park,55
Viola hirsutula,Yosemite National Park,134
Viola hirsutula,Bryce National Park,109
Viola hirsutula,Yellowstone National Park,256
Mentha X piperita,Great Smoky Mountains National Park,82
Mentha X piperita,Yosemite National Park,149
Mentha X piperita,Bryce National Park,122
Mentha X piperita,Yellowstone National Park,250
Phacelia congdonii,Great Smoky Mountains National Park,56
Phacelia congdonii,Yosemite National Park,161
Phacelia congdonii,Bryce National Park,106
Phacelia congdonii,Yellowstone National Park,230
Euderma maculatum,Great Smoky Mountains National Park,94
Euderma maculatum,Yosemite National Park,111
Euderma maculatum,Bryce National Park,74
Euderma maculatum,Yellowstone National Park,225
Helianthus mollis,Great Smoky Mountains National Park,84
Helianthus mollis,Yosemite National Park,104
Helianthus mollis,Bryce National Park,94
Helianthus mollis,Yellowstone National Park,288
Philadelphus sharpianus,Great Smoky Mountains National Park,67
Philadelphus sharpianus,Yosemite National Park,160
Philadelphus sharpianus,Bryce National Park,112
Philadelphus sharpianus,Yellowstone National Park,241
Heracleum lanatum,Great Smoky Mountains National Park,186
Heracleum lanatum,Yosemite National Park,254
Heracleum lanatum,Bryce National Park,200
Heracleum lanatum,Yellowstone National Park,538
Atriplex subspicata,Great Smoky Mountains National Park,69
Atriplex subspicata,Yosemite National Park,158
Atriplex subspicata,Bryce National Park,107
Atriplex subspicata,Yellowstone National Park,201
Carya laciniosa,Great Smoky Mountains National Park,107
Carya laciniosa,Yosemite National Park,137
Carya laciniosa,Bryce National Park,83
Carya laciniosa,Yellowstone National Park,221
Carex incurviformis var. danaensis,Great Smoky Mountains National Park,81
Carex incurviformis var. danaensis,Yosemite National Park,153
Carex incurviformis var. danaensis,Bryce National Park,107
Carex incurviformis var. danaensis,Yellowstone National Park,278
Digitaria ischaemum,Great Smoky Mountains National Park,94
Digitaria ischaemum,Yosemite National Park,297
Digitaria ischaemum,Bryce National Park,171
Digitaria ischaemum,Yellowstone National Park,498
Carex luzulifolia,Great Smoky Mountains National Park,69
Carex luzulifolia,Yosemite National Park,161
Carex luzulifolia,Bryce National Park,144
Carex luzulifolia,Yellowstone National Park,245
Charadrius semipalmatus,Great Smoky Mountains National Park,59
Charadrius semipalmatus,Yosemite National Park,141
Charadrius semipalmatus,Bryce National Park,107
Charadrius semipalmatus,Yellowstone National Park,281
Schizachne purpurascens,Great Smoky Mountains National Park,108
Schizachne purpurascens,Yosemite National Park,191
Schizachne purpurascens,Bryce National Park,104
Schizachne purpurascens,Yellowstone National Park,267
Ludwigia decurrens,Great Smoky Mountains National Park,79
Ludwigia decurrens,Yosemite National Park,142
Ludwigia decurrens,Bryce National Park,87
Ludwigia decurrens,Yellowstone National Park,202
Epilobium suffruticosum,Great Smoky Mountains National Park,82
Epilobium suffruticosum,Yosemite National Park,142
Epilobium suffruticosum,Bryce National Park,99
Epilobium suffruticosum,Yellowstone National Park,288
Geranium viscosissimum var. nervosum,Great Smoky Mountains National Park,115
Geranium viscosissimum var. nervosum,Yosemite National Park,163
Geranium viscosissimum var. nervosum,Bryce National Park,101
Geranium viscosissimum var. nervosum,Yellowstone National Park,272
Photinia floribunda,Great Smoky Mountains National Park,42
Photinia floribunda,Yosemite National Park,132
Photinia floribunda,Bryce National Park,113
Photinia floribunda,Yellowstone National Park,254
Aquilegia coerulea,Great Smoky Mountains National Park,69
Aquilegia coerulea,Yosemite National Park,178
Aquilegia coerulea,Bryce National Park,134
Aquilegia coerulea,Yellowstone National Park,231
Polygonum polygaloides ssp. kelloggii,Great Smoky Mountains National Park,49
Polygonum polygaloides ssp. kelloggii,Yosemite National Park,164
Polygonum polygaloides ssp. kelloggii,Bryce National Park,106
Polygonum polygaloides ssp. kelloggii,Yellowstone National Park,226
Polygonum achoreum,Great Smoky Mountains National Park,59
Polygonum achoreum,Yosemite National Park,123
Polygonum achoreum,Bryce National Park,87
Polygonum achoreum,Yellowstone National Park,255
Veronica anagallis-aquatica,Great Smoky Mountains National Park,185
Veronica anagallis-aquatica,Yosemite National Park,249
Veronica anagallis-aquatica,Bryce National Park,168
Veronica anagallis-aquatica,Yellowstone National Park,496
Murdannia keisak,Great Smoky Mountains National Park,103
Murdannia keisak,Yosemite National Park,174
Murdannia keisak,Bryce National Park,90
Murdannia keisak,Yellowstone National Park,270
Aythya americana,Great Smoky Mountains National Park,115
Aythya americana,Yosemite National Park,64
Aythya americana,Bryce National Park,108
Aythya americana,Yellowstone National Park,304
Silene sargentii,Great Smoky Mountains National Park,120
Silene sargentii,Yosemite National Park,160
Silene sargentii,Bryce National Park,107
Silene sargentii,Yellowstone National Park,220
Bassariscus astutus,Great Smoky Mountains National Park,76
Bassariscus astutus,Yosemite National Park,134
Bassariscus astutus,Bryce National Park,96
Bassariscus astutus,Yellowstone National Park,214
Hylotelephium spectabile,Great Smoky Mountains National Park,42
Hylotelephium spectabile,Yosemite National Park,144
Hylotelephium spectabile,Bryce National Park,39
Hylotelephium spectabile,Yellowstone National Park,246
Sagina apetala,Great Smoky Mountains National Park,86
Sagina apetala,Yosemite National Park,169
Sagina apetala,Bryce National Park,73
Sagina apetala,Yellowstone National Park,250
Platanthera hyperborea,Great Smoky Mountains National Park,98
Platanthera hyperborea,Yosemite National Park,156
Platanthera hyperborea,Bryce National Park,66
Platanthera hyperborea,Yellowstone National Park,235
Poa paludigena,Great Smoky Mountains National Park,81
Poa paludigena,Yosemite National Park,154
Poa paludigena,Bryce National Park,61
Poa paludigena,Yellowstone National Park,249
Liatris aspera,Great Smoky Mountains National Park,101
Liatris aspera,Yosemite National Park,166
Liatris aspera,Bryce National Park,111
Liatris aspera,Yellowstone National Park,220
Perideridia lemmonii,Great Smoky Mountains National Park,67
Perideridia lemmonii,Yosemite National Park,140
Perideridia lemmonii,Bryce National Park,89
Perideridia lemmonii,Yellowstone National Park,247
Desmodium ochroleucum,Great Smoky Mountains National Park,74
Desmodium ochroleucum,Yosemite National Park,149
Desmodium ochroleucum,Bryce National Park,109
Desmodium ochroleucum,Yellowstone National Park,272
Cardamine pachystigma var. pachystigma,Great Smoky Mountains National Park,112
Cardamine pachystigma var. pachystigma,Yosemite National Park,171
Cardamine pachystigma var. pachystigma,Bryce National Park,104
Cardamine pachystigma var. pachystigma,Yellowstone National Park,244
Herzogiella striatella,Great Smoky Mountains National Park,63
Herzogiella striatella,Yosemite National Park,154
Herzogiella striatella,Bryce National Park,88
Herzogiella striatella,Yellowstone National Park,246
Robinia viscosa var. hartwegii,Great Smoky Mountains National Park,47
Robinia viscosa var. hartwegii,Yosemite National Park,175
Robinia viscosa var. hartwegii,Bryce National Park,140
Robinia viscosa var. hartwegii,Yellowstone National Park,231
Fissidens taxifolius,Great Smoky Mountains National Park,76
Fissidens taxifolius,Yosemite National Park,115
Fissidens taxifolius,Bryce National Park,87
Fissidens taxifolius,Yellowstone National Park,257
Synaptomys cooperi stonei,Great Smoky Mountains National Park,52
Synaptomys cooperi stonei,Yosemite National Park,189
Synaptomys cooperi stonei,Bryce National Park,121
Synaptomys cooperi stonei,Yellowstone National Park,236
Tradescantia virginiana,Great Smoky Mountains National Park,78
Tradescantia virginiana,Yosemite National Park,166
Tradescantia virginiana,Bryce National Park,133
Tradescantia virginiana,Yellowstone National Park,265
Calystegia spithamaea,Great Smoky Mountains National Park,95
Calystegia spithamaea,Yosemite National Park,152
Calystegia spithamaea,Bryce National Park,107
Calystegia spithamaea,Yellowstone National Park,258
Rhinichthys osculus,Great Smoky Mountains National Park,62
Rhinichthys osculus,Yosemite National Park,125
Rhinichthys osculus,Bryce National Park,112
Rhinichthys osculus,Yellowstone National Park,210
Saxifraga cernua,Great Smoky Mountains National Park,27
Saxifraga cernua,Yosemite National Park,167
Saxifraga cernua,Bryce National Park,67
Saxifraga cernua,Yellowstone National Park,253
Selaginella rupestris,Great Smoky Mountains National Park,99
Selaginella rupestris,Yosemite National Park,191
Selaginella rupestris,Bryce National Park,108
Selaginella rupestris,Yellowstone National Park,218
Iris pseudacorus,Great Smoky Mountains National Park,74
Iris pseudacorus,Yosemite National Park,142
Iris pseudacorus,Bryce National Park,86
Iris pseudacorus,Yellowstone National Park,291
Trillium simile,Great Smoky Mountains National Park,85
Trillium simile,Yosemite National Park,157
Trillium simile,Bryce National Park,162
Trillium simile,Yellowstone National Park,237
Toxostoma redivivum,Great Smoky Mountains National Park,85
Toxostoma redivivum,Yosemite National Park,155
Toxostoma redivivum,Bryce National Park,100
Toxostoma redivivum,Yellowstone National Park,225
Atrichum angustatum,Great Smoky Mountains National Park,49
Atrichum angustatum,Yosemite National Park,154
Atrichum angustatum,Bryce National Park,124
Atrichum angustatum,Yellowstone National Park,235
Leucanthemum vulgare,Great Smoky Mountains National Park,143
Leucanthemum vulgare,Yosemite National Park,246
Leucanthemum vulgare,Bryce National Park,207
Leucanthemum vulgare,Yellowstone National Park,504
Monarda media,Great Smoky Mountains National Park,69
Monarda media,Yosemite National Park,138
Monarda media,Bryce National Park,89
Monarda media,Yellowstone National Park,260
Contopus virens,Great Smoky Mountains National Park,58
Contopus virens,Yosemite National Park,128
Contopus virens,Bryce National Park,110
Contopus virens,Yellowstone National Park,251
Platanthera dilatata var. albiflora,Great Smoky Mountains National Park,51
Platanthera dilatata var. albiflora,Yosemite National Park,165
Platanthera dilatata var. albiflora,Bryce National Park,110
Platanthera dilatata var. albiflora,Yellowstone National Park,268
Catostomus commersoni,Great Smoky Mountains National Park,53
Catostomus commersoni,Yosemite National Park,134
Catostomus commersoni,Bryce National Park,84
Catostomus commersoni,Yellowstone National Park,262
Medicago sativa,Great Smoky Mountains National Park,87
Medicago sativa,Yosemite National Park,134
Medicago sativa,Bryce National Park,74
Medicago sativa,Yellowstone National Park,269
Viola sagittata var. sagittata,Great Smoky Mountains National Park,81
Viola sagittata var. sagittata,Yosemite National Park,152
Viola sagittata var. sagittata,Bryce National Park,73
Viola sagittata var. sagittata,Yellowstone National Park,265
Setophaga magnolia,Great Smoky Mountains National Park,105
Setophaga magnolia,Yosemite National Park,167
Setophaga magnolia,Bryce National Park,99
Setophaga magnolia,Yellowstone National Park,240
Senecio sphaerocephalus,Great Smoky Mountains National Park,95
Senecio sphaerocephalus,Yosemite National Park,179
Senecio sphaerocephalus,Bryce National Park,100
Senecio sphaerocephalus,Yellowstone National Park,253
Carex filifolia,Great Smoky Mountains National Park,30
Carex filifolia,Yosemite National Park,153
Carex filifolia,Bryce National Park,85
Carex filifolia,Yellowstone National Park,258
Polygonum orientale,Great Smoky Mountains National Park,59
Polygonum orientale,Yosemite National Park,180
Polygonum orientale,Bryce National Park,134
Polygonum orientale,Yellowstone National Park,278
Lobelia cardinalis,Great Smoky Mountains National Park,83
Lobelia cardinalis,Yosemite National Park,144
Lobelia cardinalis,Bryce National Park,117
Lobelia cardinalis,Yellowstone National Park,265
Prunus persica,Great Smoky Mountains National Park,83
Prunus persica,Yosemite National Park,127
Prunus persica,Bryce National Park,116
Prunus persica,Yellowstone National Park,283
Plethodon websteri,Great Smoky Mountains National Park,63
Plethodon websteri,Yosemite National Park,164
Plethodon websteri,Bryce National Park,82
Plethodon websteri,Yellowstone National Park,240
Carex oxylepis var. oxylepis,Great Smoky Mountains National Park,66
Carex oxylepis var. oxylepis,Yosemite National Park,150
Carex oxylepis var. oxylepis,Bryce National Park,94
Carex oxylepis var. oxylepis,Yellowstone National Park,278
Veratrum californicum var. californicum,Great Smoky Mountains National Park,87
Veratrum californicum var. californicum,Yosemite National Park,139
Veratrum californicum var. californicum,Bryce National Park,83
Veratrum californicum var. californicum,Yellowstone National Park,277
Sagittaria latifolia var. pubescens,Great Smoky Mountains National Park,86
Sagittaria latifolia var. pubescens,Yosemite National Park,117
Sagittaria latifolia var. pubescens,Bryce National Park,127
Sagittaria latifolia var. pubescens,Yellowstone National Park,267
Geranium carolinianum,Great Smoky Mountains National Park,149
Geranium carolinianum,Yosemite National Park,309
Geranium carolinianum,Bryce National Park,152
Geranium carolinianum,Yellowstone National Park,505
Ranunculus eschscholtzii var. eximius,Great Smoky Mountains National Park,109
Ranunculus eschscholtzii var. eximius,Yosemite National Park,183
Ranunculus eschscholtzii var. eximius,Bryce National Park,106
Ranunculus eschscholtzii var. eximius,Yellowstone National Park,256
Digitaria filiformis,Great Smoky Mountains National Park,81
Digitaria filiformis,Yosemite National Park,167
Digitaria filiformis,Bryce National Park,83
Digitaria filiformis,Yellowstone National Park,274
Dendromecon rigida,Great Smoky Mountains National Park,92
Dendromecon rigida,Yosemite National Park,149
Dendromecon rigida,Bryce National Park,131
Dendromecon rigida,Yellowstone National Park,255
Salix eastwoodiae,Great Smoky Mountains National Park,52
Salix eastwoodiae,Yosemite National Park,172
Salix eastwoodiae,Bryce National Park,82
Salix eastwoodiae,Yellowstone National Park,221
Osmorhiza occidentalis,Great Smoky Mountains National Park,70
Osmorhiza occidentalis,Yosemite National Park,128
Osmorhiza occidentalis,Bryce National Park,117
Osmorhiza occidentalis,Yellowstone National Park,245
Ochrotomys nuttalli,Great Smoky Mountains National Park,59
Ochrotomys nuttalli,Yosemite National Park,161
Ochrotomys nuttalli,Bryce National Park,57
Ochrotomys nuttalli,Yellowstone National Park,267
Streptanthus tortuosus,Great Smoky Mountains National Park,63
Streptanthus tortuosus,Yosemite National Park,161
Streptanthus tortuosus,Bryce National Park,120
Streptanthus tortuosus,Yellowstone National Park,271
Hamamelis virginiana,Great Smoky Mountains National Park,90
Hamamelis virginiana,Yosemite National Park,160
Hamamelis virginiana,Bryce National Park,92
Hamamelis virginiana,Yellowstone National Park,262
Anser albifrons,Great Smoky Mountains National Park,76
Anser albifrons,Yosemite National Park,162
Anser albifrons,Bryce National Park,83
Anser albifrons,Yellowstone National Park,221
Liatris squarrosa,Great Smoky Mountains National Park,67
Liatris squarrosa,Yosemite National Park,176
Liatris squarrosa,Bryce National Park,93
Liatris squarrosa,Yellowstone National Park,271
Symphyotrichum undulatum,Great Smoky Mountains National Park,82
Symphyotrichum undulatum,Yosemite National Park,166
Symphyotrichum undulatum,Bryce National Park,59
Symphyotrichum undulatum,Yellowstone National Park,258
Lechea racemulosa,Great Smoky Mountains National Park,56
Lechea racemulosa,Yosemite National Park,119
Lechea racemulosa,Bryce National Park,92
Lechea racemulosa,Yellowstone National Park,249
Catherpes mexicanus,Great Smoky Mountains National Park,33
Catherpes mexicanus,Yosemite National Park,163
Catherpes mexicanus,Bryce National Park,75
Catherpes mexicanus,Yellowstone National Park,229
Melica imperfecta,Great Smoky Mountains National Park,80
Melica imperfecta,Yosemite National Park,126
Melica imperfecta,Bryce National Park,80
Melica imperfecta,Yellowstone National Park,257
Etheostoma blennioides,Great Smoky Mountains National Park,24
Etheostoma blennioides,Yosemite National Park,203
Etheostoma blennioides,Bryce National Park,141
Etheostoma blennioides,Yellowstone National Park,222
Ranunculus eschscholtzii var. oxynotus,Great Smoky Mountains National Park,68
Ranunculus eschscholtzii var. oxynotus,Yosemite National Park,158
Ranunculus eschscholtzii var. oxynotus,Bryce National Park,124
Ranunculus eschscholtzii var. oxynotus,Yellowstone National Park,263
Ambrosia trifida,Great Smoky Mountains National Park,46
Ambrosia trifida,Yosemite National Park,123
Ambrosia trifida,Bryce National Park,91
Ambrosia trifida,Yellowstone National Park,279
Torilis arvensis,Great Smoky Mountains National Park,83
Torilis arvensis,Yosemite National Park,160
Torilis arvensis,Bryce National Park,121
Torilis arvensis,Yellowstone National Park,240
Centaurea nigra,Great Smoky Mountains National Park,61
Centaurea nigra,Yosemite National Park,167
Centaurea nigra,Bryce National Park,82
Centaurea nigra,Yellowstone National Park,228
Bupleurum americanum,Great Smoky Mountains National Park,83
Bupleurum americanum,Yosemite National Park,134
Bupleurum americanum,Bryce National Park,115
Bupleurum americanum,Yellowstone National Park,230
Xanthium strumarium var. glabratum,Great Smoky Mountains National Park,71
Xanthium strumarium var. glabratum,Yosemite National Park,141
Xanthium strumarium var. glabratum,Bryce National Park,79
Xanthium strumarium var. glabratum,Yellowstone National Park,232
Botrychium oneidense,Great Smoky Mountains National Park,64
Botrychium oneidense,Yosemite National Park,158
Botrychium oneidense,Bryce National Park,126
Botrychium oneidense,Yellowstone National Park,260
Gayophytum decipiens,Great Smoky Mountains National Park,92
Gayophytum decipiens,Yosemite National Park,138
Gayophytum decipiens,Bryce National Park,98
Gayophytum decipiens,Yellowstone National Park,224
Polypremum procumbens,Great Smoky Mountains National Park,51
Polypremum procumbens,Yosemite National Park,105
Polypremum procumbens,Bryce National Park,104
Polypremum procumbens,Yellowstone National Park,266
Galium circaezans,Great Smoky Mountains National Park,78
Galium circaezans,Yosemite National Park,165
Galium circaezans,Bryce National Park,114
Galium circaezans,Yellowstone National Park,267
Camassia quamash ssp. quamash,Great Smoky Mountains National Park,114
Camassia quamash ssp. quamash,Yosemite National Park,142
Camassia quamash ssp. quamash,Bryce National Park,120
Camassia quamash ssp. quamash,Yellowstone National Park,236
Mustela nivalis,Great Smoky Mountains National Park,75
Mustela nivalis,Yosemite National Park,155
Mustela nivalis,Bryce National Park,96
Mustela nivalis,Yellowstone National Park,209
Sylvilagus transitionalis,Great Smoky Mountains National Park,88
Sylvilagus transitionalis,Yosemite National Park,182
Sylvilagus transitionalis,Bryce National Park,107
Sylvilagus transitionalis,Yellowstone National Park,206
Schistidium agassizii,Great Smoky Mountains National Park,76
Schistidium agassizii,Yosemite National Park,148
Schistidium agassizii,Bryce National Park,81
Schistidium agassizii,Yellowstone National Park,269
Lampropeltis,Great Smoky Mountains National Park,68
Lampropeltis,Yosemite National Park,152
Lampropeltis,Bryce National Park,101
Lampropeltis,Yellowstone National Park,272
Mentzelia albicaulis,Great Smoky Mountains National Park,105
Mentzelia albicaulis,Yosemite National Park,121
Mentzelia albicaulis,Bryce National Park,96
Mentzelia albicaulis,Yellowstone National Park,244
Sitta canadensis,Great Smoky Mountains National Park,41
Sitta canadensis,Yosemite National Park,133
Sitta canadensis,Bryce National Park,78
Sitta canadensis,Yellowstone National Park,257
Lespedeza stuevei,Great Smoky Mountains National Park,77
Lespedeza stuevei,Yosemite National Park,162
Lespedeza stuevei,Bryce National Park,122
Lespedeza stuevei,Yellowstone National Park,235
Scirpus microcarpus,Great Smoky Mountains National Park,93
Scirpus microcarpus,Yosemite National Park,182
Scirpus microcarpus,Bryce National Park,95
Scirpus microcarpus,Yellowstone National Park,223
Hexastylis heterophylla,Great Smoky Mountains National Park,60
Hexastylis heterophylla,Yosemite National Park,128
Hexastylis heterophylla,Bryce National Park,94
Hexastylis heterophylla,Yellowstone National Park,224
Sphagnum capillifolium,Great Smoky Mountains National Park,60
Sphagnum capillifolium,Yosemite National Park,170
Sphagnum capillifolium,Bryce National Park,109
Sphagnum capillifolium,Yellowstone National Park,272
Percina evides,Great Smoky Mountains National Park,93
Percina evides,Yosemite National Park,135
Percina evides,Bryce National Park,71
Percina evides,Yellowstone National Park,236
Polypodium calirhiza,Great Smoky Mountains National Park,71
Polypodium calirhiza,Yosemite National Park,193
Polypodium calirhiza,Bryce National Park,106
Polypodium calirhiza,Yellowstone National Park,274
Abies bifolia,Great Smoky Mountains National Park,72
Abies bifolia,Yosemite National Park,136
Abies bifolia,Bryce National Park,109
Abies bifolia,Yellowstone National Park,215
Rorippa palustris,Great Smoky Mountains National Park,15
Rorippa palustris,Yosemite National Park,156
Rorippa palustris,Bryce National Park,133
Rorippa palustris,Yellowstone National Park,257
Woodwardia areolata,Great Smoky Mountains National Park,75
Woodwardia areolata,Yosemite National Park,133
Woodwardia areolata,Bryce National Park,127
Woodwardia areolata,Yellowstone National Park,261
Stellaria longifolia,Great Smoky Mountains National Park,123
Stellaria longifolia,Yosemite National Park,269
Stellaria longifolia,Bryce National Park,199
Stellaria longifolia,Yellowstone National Park,526
Eleusine indica,Great Smoky Mountains National Park,49
Eleusine indica,Yosemite National Park,146
Eleusine indica,Bryce National Park,117
Eleusine indica,Yellowstone National Park,253
Brassica rapa,Great Smoky Mountains National Park,180
Brassica rapa,Yosemite National Park,338
Brassica rapa,Bryce National Park,188
Brassica rapa,Yellowstone National Park,540
Silphium asteriscus var. laevicaule,Great Smoky Mountains National Park,71
Silphium asteriscus var. laevicaule,Yosemite National Park,155
Silphium asteriscus var. laevicaule,Bryce National Park,97
Silphium asteriscus var. laevicaule,Yellowstone National Park,256
Carex scopulorum var. bracteosa,Great Smoky Mountains National Park,93
Carex scopulorum var. bracteosa,Yosemite National Park,161
Carex scopulorum var. bracteosa,Bryce National Park,122
Carex scopulorum var. bracteosa,Yellowstone National Park,254
Celtis tenuifolia,Great Smoky Mountains National Park,76
Celtis tenuifolia,Yosemite National Park,192
Celtis tenuifolia,Bryce National Park,109
Celtis tenuifolia,Yellowstone National Park,243
Vicia cracca ssp. cracca,Great Smoky Mountains National Park,91
Vicia cracca ssp. cracca,Yosemite National Park,110
Vicia cracca ssp. cracca,Bryce National Park,110
Vicia cracca ssp. cracca,Yellowstone National Park,233
Plantago eriopoda,Great Smoky Mountains National Park,43
Plantago eriopoda,Yosemite National Park,148
Plantago eriopoda,Bryce National Park,102
Plantago eriopoda,Yellowstone National Park,254
Epilobium ciliatum ssp. ciliatum,Great Smoky Mountains National Park,182
Epilobium ciliatum ssp. ciliatum,Yosemite National Park,272
Epilobium ciliatum ssp. ciliatum,Bryce National Park,199
Epilobium ciliatum ssp. ciliatum,Yellowstone National Park,477
Plagiomnium rostratum,Great Smoky Mountains National Park,87
Plagiomnium rostratum,Yosemite National Park,152
Plagiomnium rostratum,Bryce National Park,100
Plagiomnium rostratum,Yellowstone National Park,239
Ivesia pygmaea,Great Smoky Mountains National Park,58
Ivesia pygmaea,Yosemite National Park,139
Ivesia pygmaea,Bryce National Park,103
Ivesia pygmaea,Yellowstone National Park,212
Poa cusickii,Great Smoky Mountains National Park,80
Poa cusickii,Yosemite National Park,164
Poa cusickii,Bryce National Park,83
Poa cusickii,Yellowstone National Park,229
Delphinium nudicaule,Great Smoky Mountains National Park,66
Delphinium nudicaule,Yosemite National Park,160
Delphinium nudicaule,Bryce National Park,104
Delphinium nudicaule,Yellowstone National Park,261
Polycarpon tetraphyllum,Great Smoky Mountains National Park,73
Polycarpon tetraphyllum,Yosemite National Park,173
Polycarpon tetraphyllum,Bryce National Park,79
Polycarpon tetraphyllum,Yellowstone National Park,227
Phlox speciosa ssp. occidentalis,Great Smoky Mountains National Park,86
Phlox speciosa ssp. occidentalis,Yosemite National Park,146
Phlox speciosa ssp. occidentalis,Bryce National Park,131
Phlox speciosa ssp. occidentalis,Yellowstone National Park,239
Corvus brachyrhynchos,Great Smoky Mountains National Park,46
Corvus brachyrhynchos,Yosemite National Park,153
Corvus brachyrhynchos,Bryce National Park,115
